编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T201-01,除湿止痒软膏软膏剂,CSZYRG,CHINESE_PATENT,CREAM,每支装 10g,支,10,g,COOL,是,是,否,,否,否,否,,否,,,,,,,,TOPICAL,TID,否,是,ACTIVE
MED-2026-T201-02,除湿止痒软膏软膏剂,CSZYRG,CHINESE_PATENT,CREAM,每支装 20g,支,20,g,COOL,是,是,否,,否,否,否,,否,,,,,,,,TOPICAL,TID,否,是,ACTIVE
MED-2026-T202,金蝉止痒胶囊,JCZYJN,CHINESE_PATENT,CAPSULE,每粒装 0.5g,粒,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T203,季德胜蛇药片,JDSSYP,CHINESE_PATENT,TABLET,每片重 0.4g,片,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T204-01,肛泰栓（软膏）,GTSRG,CHINESE_PATENT,SUPPOSITORY,每粒 相当于饮片0.086g,枚,0.086,g,COOL,是,是,否,,否,否,否,,否,,,,,,,,RECTAL,TID,否,是,ACTIVE
MED-2026-T204-02,肛泰栓（软膏）,GTSRG,CHINESE_PATENT,SUPPOSITORY,含盐酸小檗碱 36mg,枚,36,mg,COOL,是,是,否,,否,否,否,,否,,,,,,,,RECTAL,TID,否,是,ACTIVE
MED-2026-T204-03,肛泰栓（软膏）,GTSRG,CHINESE_PATENT,SUPPOSITORY,盐酸罂粟碱 7mg软膏剂：每 1g 相当于饮片 86mg,枚,7,mg,COOL,是,是,否,,否,否,否,,否,,,,,,,,RECTAL,TID,否,是,ACTIVE
MED-2026-T204-04,肛泰栓（软膏）,GTSRG,CHINESE_PATENT,SUPPOSITORY,含盐酸小檗碱36mg,枚,36,mg,COOL,是,是,否,,否,否,否,,否,,,,,,,,RECTAL,TID,否,是,ACTIVE
MED-2026-T204-05,肛泰栓（软膏）,GTSRG,CHINESE_PATENT,SUPPOSITORY,盐酸罂粟碱 7mg,枚,7,mg,COOL,是,是,否,,否,否,否,,否,,,,,,,,RECTAL,TID,否,是,ACTIVE
MED-2026-T205,"复方黄柏液涂剂（复
方黄柏液）",FFHBYTJFFHBY,CHINESE_PATENT,TABLET,每 1ml 相当于饮片0.2g,片,1,ml,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
