编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T141-02,华蟾素片（胶囊）,HCSPJN,CHINESE_PATENT,CAPSULE,每粒装 0.25g（相当于饮片 3.5g）、0.3g,粒,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T142,复方斑蝥胶囊,FFBMJN,CHINESE_PATENT,CAPSULE,每粒装 0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T143-01,通关藤（消癌平）片（胶囊、口服液）（片剂）,TGTXAPPJNKFY,CHINESE_PATENT,TABLET,每片重 0.3g 、0.32g,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T143-02,通关藤（消癌平）片（胶囊、口服液）,TGTXAPPJNKFY,CHINESE_PATENT,CAPSULE,每粒装 0.2g,粒,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T143-03,通关藤（消癌平）片（胶囊、口服液）（合剂）,TGTXAPPJNKFY,CHINESE_PATENT,ORAL_LIQUID,每支装 10ml，每1ml 相当于饮片 1g,瓶,10,ml,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T144-01,红金消结胶囊（片）,HJXJJNP,CHINESE_PATENT,CAPSULE,每粒装 0.4g,粒,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T144-02,红金消结胶囊（片）（片剂）,HJXJJNP,CHINESE_PATENT,TABLET,每片重 0.42g、0.5g 、 0.55g（相当于饮片 3.055g）,片,0.42,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T145,逍遥丸（颗粒）丸剂,XYWKL,CHINESE_PATENT,OTHER,每丸重 9g，每 8 丸相当于原生药（原药材、饮片）3g，每袋装 6g 、9g颗粒剂：每袋装 5g（相当于饮片 10.0g）、6g 、15g,丸,9,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T146,丹栀逍遥丸丸剂,DZXYW,CHINESE_PATENT,OTHER,每袋装 6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T147,舒肝解郁胶囊,SGJYJN,CHINESE_PATENT,CAPSULE,每粒装 0.36g,粒,0.36,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T148,解郁除烦胶囊,JYCFJN,CHINESE_PATENT,CAPSULE,每粒装 0.4g（相当于饮片 1.55g）,粒,0.4,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T149-01,护肝片（颗粒、胶囊）（片剂）,HGPKLJN,CHINESE_PATENT,TABLET,每片重 0.35g（相当于饮片 1.255g）、0.36g（相当于饮片 1.255g）、0.38g颗粒剂：每袋装 2g,片,0.35,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T149-02,护肝片（颗粒、胶囊）,HGPKLJN,CHINESE_PATENT,CAPSULE,每粒装 0.35g,粒,0.35,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T150-01,气滞胃痛颗粒（片）（颗粒剂）,QZWTKLP,CHINESE_PATENT,GRANULE,每袋装 2.5g 、5g,袋,2.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T150-02,气滞胃痛颗粒（片）（片剂）,QZWTKLP,CHINESE_PATENT,TABLET,每片重 0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T151,胃苏颗粒颗粒剂,WSKL,CHINESE_PATENT,GRANULE,每袋相当于饮片16g,袋,16,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T152-01,元胡止痛片（颗粒、胶囊、滴丸）（片剂）,YHZTPKLJNDW,CHINESE_PATENT,TABLET,每片重 0.25g（相当于饮片 0.67g）、0.26g,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T152-02,元胡止痛片（颗粒、胶囊、滴丸）（颗粒剂）,YHZTPKLJNDW,CHINESE_PATENT,GRANULE,每袋装 5g,袋,5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T152-03,元胡止痛片（颗粒、胶囊、滴丸）,YHZTPKLJNDW,CHINESE_PATENT,CAPSULE,每粒装 0.25g、0.45g,粒,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T152-04,元胡止痛片（颗粒、胶囊、滴丸）（滴丸剂）,YHZTPKLJNDW,CHINESE_PATENT,DROPS,每 10 丸重 0.5g,瓶,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T153-01,三九胃泰颗粒（胶囊）（颗粒剂）,SJWTKLJN,CHINESE_PATENT,GRANULE,每袋装2.5g、10g、 20g,袋,2.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T153-02,三九胃泰颗粒（胶囊）,SJWTKLJN,CHINESE_PATENT,CAPSULE,每粒装 0.5g,粒,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-T154,加味左金丸丸剂,JWZJW,CHINESE_PATENT,OTHER,每 100 丸重 6g,丸,6,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,TID,否,是,ACTIVE
