标准品种ID,旧目录编码,名称,英文名称,药品类型,条目类型,原文规格,专科指导,来源位置,来源版本,审核状态
GEN-08DFB32529996201D556AA9C,MED-2026-T197,缩泉丸(胶囊),,CHINESE_PATENT,MEDICATION,"丸剂：每 20 粒重 1g
胶囊：每粒装 0.3g",False,table:120/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3B6E25944D13274F3FD40717,MED-2026-T198,消炎利胆片(颗粒、胶囊),,CHINESE_PATENT,MEDICATION,"片剂：每片重 0.24g、0.25g （相当于饮片 2.6g）、0.26g
（相当于饮片 2.6g）颗粒剂：每袋装 2.5g
胶囊：每粒装 0.45g",False,table:121/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-2F0FDE72A50226449A49A8C3,MED-2026-T199,金钱胆通颗粒,,CHINESE_PATENT,MEDICATION,颗粒剂：每 1g 相当于饮片3.56g,False,table:122/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-CD96D07C3193606DDB6CB57E,MED-2026-T200,银屑胶囊(颗粒),,CHINESE_PATENT,MEDICATION,"胶囊：每粒装 0.45g（相当于饮片 6.75g）
颗粒剂：每袋装 6g（相当于饮片27g）、15g（相当于原药材 27g）",False,table:122/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B30A776E837EE02323425B7C,MED-2026-T201,除湿止痒软膏,,CHINESE_PATENT,MEDICATION,软膏剂：每支装 10g 、20g,False,table:122/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-F6A75F96AFE6120B47E940EC,MED-2026-T202,金蝉止痒胶囊,,CHINESE_PATENT,MEDICATION,胶囊：每粒装 0.5g,False,table:122/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-BD3F750732BF7C772D4F2FAD,MED-2026-T203,季德胜蛇药片,,CHINESE_PATENT,MEDICATION,片剂：每片重 0.4g,False,table:122/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-92E4485B6CB87D0828AEB18C,MED-2026-T204,肛泰栓(软膏),,CHINESE_PATENT,MEDICATION,栓剂：每粒相当于饮片0.086g，含盐酸小檗碱 36mg、盐酸罂粟碱 7mg软膏剂：每 1g 相当于饮片 86mg，含盐酸小檗碱36mg、盐酸罂粟碱 7mg,False,table:122/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-306DD45758F1516D440AF1A6,MED-2026-T205,复方黄柏液涂剂(复方黄柏液),,CHINESE_PATENT,MEDICATION,涂剂：每 1ml 相当于饮片0.2g,False,table:122/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-A9C8595F4299133A7611967A,MED-2026-T206,连翘败毒丸(膏、片),,CHINESE_PATENT,MEDICATION,"丸剂：每袋装 9g，每 100粒重 6g
煎膏剂：每袋装 15g，每瓶装 60g 、120g
片剂：每片重 0.6g",False,table:122/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
